# UNION SOLDIERS INTERRED IN

## BEAUDREPAT NATIONAL CEMETERY, SOUTH CAROLINA - CONFED.

| Co. | Rank | Name | No. | Regt. | Date of Death | Grave | Sect. | Remarks |
| 85 NC Line | | William WHITE | 2568 | 2d Maine Engineers | Oct. 1, 1862 | 1394 | 13th | |
| 85 NC Line | | Paul Andor | 2269 | 7th Rhode Island Cav. | Oct. 6, 1862 | 1411 | 13th | |
| 85 NC Line | | Christiansen F. ASHCRAFT | 1496 | 5th Wisconsin Vol. Mtd. Inf. | Oct. 7, 1862 | 1415 | 13th | |
| 85 NC Line | | John T. Barracks | 708 | 1st Connecticut Light Battery | Oct. 12, 1862 | 1483 | 14th | |
| 85 NC Line | | Charles C. BELL | 945 | 15th Connecticut Vol. Inf. | Oct. 17, 1862 | 1506 | 14th | |
| 85 NC Line | | Henry BARRETT | 1135 | 15th Connecticut Vol. Inf. | Oct. 17, 1862 | 1506 | 14th | |
| 85 NC Line | | John P. BANDY | 1187 | 7th Rhode Island Vol. Inf. | Oct. 21, 1862 | 1532 | 14th | |
| 85 NC Line | | Patrick J. WORK | 843 | 16th Connecticut Vol. Inf. | Oct. 23, 1862 | 1538 | 14th | |
| 85 NC Line | | William Winkler | 3344 | 10th New York Heavy Arty. | Oct. 25, 1862 | 1546 | 14th | |
| 85 NC Line | | William HHINKLIRE | 3344 | 10th New York Heavy Arty. | Oct. 25, 1862 | 1546 | 14th | |
| 85 NC Line | | James MONK | 2550 | 3d New Jersey Vol. Inf. | Sep. 1, 1862 | 1433 | 14th | |
| 85 NC Line | | Robert literacy | 1935 | 8th Wisconsin Vol. Inf. | Oct. 29, 1862 | 1560 | 14th | |
| 85 NC Line | | Franklin H. SATTERFIELD | 3661 | 24th Wisconsin Vol. Inf. | Nov. 2, 1862 | 1611 | 15th | |
| 85 NC Line | | Addison J. SHERMAN | 923 | 9th Connecticut Vol. Inf. | Nov. 4, 1862 | 1622 | 15th | |
| 85 NC Line | | William D. SHERWOOD | 1502 | 11th Wisconsin Vol. Inf. | Nov. 9, 1862 | 1641 | 15th | |
| 85 NC Line | | Edward случае | 941 | 14th Connecticut Vol. Inf. | Nov. 10, 1862 | 1647 | 15th | |
| 85 NC Line | | John E. SMITH | 2305 | 10th New York Vol. Inf. | Nov. 10, 1862 | 1648 | 15th | |
| 85 NC Line | | Richardson TAYLOR | 1586 | 16th специализированной. Inf. | Nov. 10, 1862 | 1648 | 15th | |
| 85 NC Line | | Alexander THORNTON | 3509 | 1st Louisiana Engineers | Nov. 14, 1862 | 1665 | 16th | |
| 85 NC Line | | Robert Walter | 3081 | 15th Wisconsin Vol. Inf. | Nov. 16, 1862 | 1680 | 16th | |
| 85 NC Line | | James P. Haynes | 2957 | 6th Maine Vol. Inf. | Nov. 23, 1862 | 1713 | 16th | |
| 85 NC Line | | Henry senAccuracy | 1858 | 3d Massachusetts H.E. | Dec. 2, 1862 | 1746 | 17th | |
| 85 NC Line | | Joseph C. CROSS | 1861 | 27th Illinois Vol. Inf. | Dec. 4, 1862 | 1756 | 17th | |
| 85 NC Line | | John Edward DAVIDSON | 1992 | 6th Rhode Island No. | Dec. 4, 1862 | 1756 | 17th | |
| 85 NC Line | | Charles FENTON | 3685 | 10th Connecticut Vol. Inf. | Dec. 5, 1862 | 1764 | 17th | |
| 85 NC Line | | George days | 1123 | 104th Illinois Vols. Inf. | Dec. 6, 1862 | 1768 | 17th | |
| 85 NC Line | | E. kings | 1486 | 6th New York Heavy Arty. | Dec. 7, 1862 | 1774 | 18th | |
| 85 NC Line | | John S. McDONALD | 1849 | 33d Iowa Vol. Inf. | Dec. 8, 1862 | 1786 | 18th | |
| 85 NC Line | | Thomas B. JOHNSON | 1494 | 3d Maine Vol. Inf. | Dec. 10, 1862 | 1808 | 19th | |
| 85 NC Line | | John K. buzz | 2339 | 27th Indiana Infanty | Dec. 11, 1862 | 1814 | 19th | |
| 85 NC Line | | Charles FRICK | 2631 | 11th New York Vol. Inf. | Dec. 12, 1862 | 1820 | 19th | |
| 85 NC Line | | David GOURLEY | 658 | 18th Wisconsin Fredericksburg | Dec. 13, 1862 | 1826 | 19th | |
| 85 NC Line | | Ward Harris | 2233 | 7th Rhode Island Vol. Inf. | Dec. 14, 1862 | 1830 | 19th | |
| 85 NC Line | | John W. HAYES | 1430 | 4th Connecticut Vol. Inf. | Dec. 15, 1862 | 1835 | 19th | |
| 85 NC Line | | John Jones | 804 | 9th Connecticut Vol. Inf. | Dec. 15, 1862 | 1835 | 19th | |
| 85 NC Line | | S.texttt.RUSSELL | 785 | 7th Rhode Island Vol. Inf. | Dec. 22, 1862 | 1877 | 19th | |
| 85 NC Line | | Joseph SIMKINS | 2118 | 3d Maine Vol. Inf. | Dec. 22, 1862 | 1877 | 19th | |
| 85 NC Line | | Richard SMITH | 933 | 3d Maine Vol. Inf. | Dec. 23, 1862 | 1882 | 20th | |
| 85 NC Line | | William James SMITH | 1219 | 6th Maine Vol. Inf. | Dec. 23, 1862 | 1888 | 20th | |
| 85 NC Line | | Sterling FAIRCLOTH | 1169 | 15th Connecticut Vol. Inf. | Dec. 24, 1862 | 1891 | 20th | |
|
