# NATCHEZ NATIONAL CEMETERY, MISSISSIPPI

## UNION SOLDIERS INTERRED IN

### Battlegrounds entombed, Louisiana

156

| Original place of burial | Natchitoches, Mississippi    |
|----------------------------|------------------------------|
| Grav No.| Death, etc.       | Regt.        | Sec.    | Date of death            | Regiment          | Co. | Rank.    | Name                     |
| 15783  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15784  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15785  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15786  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15787  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15788  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15789  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15790  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15791  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15792  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15793  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15794  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15795  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15796  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15797  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15798  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15799  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15800  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15801  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15802  | Oct. 10, 62        | 7 Wis. Cav.| 3       | Sep. 28, 62              | Wis. Vol. Inf.     | 3   | 534      | polyurethane.            |
| 15803  | Oct. 10, 62        | 7 Wis.
