```
UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA - Continued-

| Remarks        |
|----------------|
| Page          | Graves       | Sec. | Date of Death      | Regiment                          | Reg. Cities | Name                  | Rank  | Co.                  |
|                |             |      |                     |       57 P. 6a NY 4th NY 3d NY 4th NY包裹了 |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 5h N.Y. 4th 8th  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 19   |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 25   |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 25 field■ ут. 94   |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 25 12th |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th P5.P   |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 5th  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th 1st NY 1st  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N. Y 4th  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY Vol 84th N.Y. 1st  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 4th vab . 9th      |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 9th  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 59th  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 60th  |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 4th   |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 4th   |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY Vol 9 Ty,    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 25 25|            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th N.Y. 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|            | 258   |618     |            |     |            |      | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 )    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c |            | ...                         |      |                 |
|                |             |      |                     |       80 P. 2d N.Y. 4d NY 3d NY volumes.... |            | ...                         |      |                 |
|        | 258   |658            |            |  #...                          |            | ...                         |      |                 |
|                |             |      |                     |       94 9d NY   4th NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^a    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|                |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |            |   658          |                     |   57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |            |   659    |                     |        57 P. 6th N.Y. 3d NY 4th NY 4th android  |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 \ Luis    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th PP'^ ^jobs |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY3^ 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |      57 P. 6th N.Y. 3d NY 4th N.Y. 4th ^^^c      |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 18 ^c    |            | ...                         |      |                 |
|            |             |      |                     |       57 P. 6th N.Y. 3d NY 4th NY 4th 1
