156 UNION SOLDIERS INTERRED IN

NATCHEZ NATIONAL CEMETERY, MISSISSIPPI—Continued.

| No.  | Name.           | Rank.           | Co. | Regiment.            | Date of death. | Sec. | Grave.   | Original place of burial. |
| 3055 | Witchery, William | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 5    | 97       | Do.                       |
| 3056 | Wind, Charles   | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 10   | 66       | Do.                       |
| 3057 | White, Green B. | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 7    | 82       | Do.                       |
| 3058 | Wells, Charles S | . . . . . . . . . | ..  | ................ | . . . . . . . . . | 7    | 167      | Do.                       |
| 3059 | Walters, Frederick | . . . . . . . . . | ..  | ................ | . . . . . . . . . | 11   | 123      | Do.                       |
| 3060 | Ward, Albert    | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 11   | 278      | Do.                       |
| 3061 | Woodford, Allen | . . . . . . . . .  | . . | ................ | . . . . . . . . . | 12   | 230      | Do.                       |
| 3062 | Washington, George | . . . . . . . . .| ..  | ................ | . . . . . . . . . | 13   | 159      | Do.                       |
| 3063 | Walker, George W. | . . . . . . . . .| ..  | ................ | . . . . . . . . . | 15   | 178      | Do.                       |
| 3064 | Walker, Thornton | . . . . . . . . . | ..  | ................ | . . . . . . . . . | 15   | 191      | Do.                       |
| 3065 | Washington, Philip | . . . . . . . . .| ..  | ................ | . . . . . . . . . | 15   | 196      | Do.                       |
| 3066 | Williams, Jackson | . . . . . . . . .| ..  | ................ | . . . . . . . . . | ..   | 6        | Do.                       |
| 3067 | Wilson, John    | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 10   | 83       | Do.                       |
| 3068 | Walker, William | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 15   | 257      | Do.                       |
| 3069 | Wakefield, James | . . . . . . . . . | ..  | ................ | . . . . . . . . . | ..   | 4        | Do.                       |
| 3070 | Walker, Nat     | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | **..** | **1**    | **Do.**                       |
| 3071 | Washington, George | . . . . . . . . .| ..  | ................ | . . . . . . . . . | ..   | 1        | Do.                       |
| 3072 | Williams, Joseph | . . . . . . . . . | ..  | ................ | . . . . . . . . . | ..   | 1        | Do.                       |
| 3073 | Zickparse, Elias | . . . . . . . . . | ..  | ................ | . . . . . . . . . | ..   | 1        | Do.                       |
|      |                 |                   |     |                  |                |      |          |                           |
|      |                 |                   |     |                  |                |      |          |                           |
|      |                 | **A.**            | **I.** | **16th New York** | **Aug. 28, 1863** | **15** | **255, 256** | **Natchez, Mississippi.** |
|      |                 | **B.**            | **I.** | **12th Wisconsin** | **Sept. 10, 1863** | **15** | **257**  | **Do.**                       |
|      |                 | **H.**            | **I.** | **29th Wisconsin** | **Nov. 15, 1863** | **15** | **259-261** | **Do.**                       |
|      |                 | **I.**            | **A.** | **11th Illinois** | **Aug. 28, 1863** | **4**  | **15**   | **Do.**                       |
|      |                 | **B.**            | **A.** | **3d corporal.**    | **Aug. 28, 1863** | **1**  | **93**   | **Do.**                       |
|      |                 | **A.**            | **A.** | **15th Ohio**       | **Aug. 28, 1863** | **1**  | **108**  | **Do.**                       |
|      |                 | **Corporeal**..... | **A.** | **11th Illinois**   | **Aug. 28, 1863** | **1**  | **117**  | **Do.**                       |
|      |                 | **Private**....... | **F.** | **11th Illinois**   | **June 15, 1865** | **2**  | **3**    | **Do.**                       |
|      |                 | **do**............ | **F.** | **26th Ohio**       | **Oct. 19, 1864** | **2**  | **4**    | **Acklin's Plantation, Louisiana.** |
|      |                 | **do**............ | **F.** | **8th New Hampshire**| **Oct. 19, 1864** | **2**  | **5**    | **Rodney, Mississippi.**      |
|      |                 | **do**............ | **F.** | **35th Wisconsin**  | **Aug. 8, 1864**  | **2**  | **10**   | **Angola Plantation, Louisiana.** |
|      |                 | **do**............ | **H.** | **infantry**        | **.........**   | **..** | **111**  | **Vandalia, Louisiana.**      |
|      |                 | **Acting mast's..** | **C.** | **U. S. S. Avenger**| **.........**   | **..** | **63**   | **Natchez, Mississippi.**     |
|      |                 | **mate**.......... | **K.** | **U. S. S. Chillicothe**| **Apr. 28, 1864** | **3**  | **97**   | **Do.**                       |
|      |                 | **Fireman**....... | **K.** | **U. S. S. Hartford**| **Nov. 26, 1864** | **5**  | **66**   | **Do.**                       |
|      |                 | **Private**....... | **K.** | **20th U. S. infantry`**| **1865**        | **7**  | **82**   | **Do.**                       |
|      |                 | **Corporeal**..... | **C.** | **66th U. S. colored infantry`**| **Aug. 10, 1867**| **7** | **167**  | **Do.**                      |
|      |                 | **Private**....... | **B.** | **70th U. S. colored infantry`**| **1865**        | **11** | **123**  | **Do.**                      |
|      |                 | **do**............ | **B.** | **heavy artillery** | **Mar. 20, 1865** | **11** | **29**   | **A. V. Davis' Plantation, La.**|
|      |                 | **do**............ | **D.** | **6th U. S. heavy artillery**| **Aug. 10, 1865** | **11** | **1**    | **Natchez, Mississippi.**     |
|      |                 | **do**............ | **F.** | **..................**| **.........**   | **12** | **230**  | **Do.**                       |
|      |                 | **Private**....... | **B.** | **58th U. S. colored troops**| **Apr. 23, 1865**| **13** | **159**  | **Do.**                       |
|      |                 | **do**............ | **F.** | **58th U. S. colored infantry`**| **.........**   | **15** | **178**  | **Concordia, Louisiana.**     |
|      |                 | **do**............ | **B.** | **6th U. S. colored infantry`**| **.........**   | **15** | **191**  | **Viola Plantation, Louisiana.** |
|      |                 | **do**............ | **C.** | **5th U. S. colored infantry`**| **.........**   | **15** | **196**  | **Angola Plantation, Louisiana.** |
|      |                 | **do**............ | **A.** | **58th U. S. colored infantry`**| **Mar. 12, 1865**| **2**  | **6**     | **Natchez, Mississippi.**     |
|      |                 | **E**             | **E.** | **83d Ohio infantry** | **.........**   | **..** | **...**  | **Do.**                       |
