BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA.
3093 Maron, Andrew..........................A.............7th U. S. Infantry..........................2...........24
3094 Murphy, John...........................Sergeant......7th U. S. Infantry..........................2...........25
3095 Murphy, Pat..............................A.............7th U. S. Infantry..........................2...........26
3096 Murphy, Jeff.............................Sergeant......7th U. S. Infantry.......................1...........1
3097 Murry, Robt...............................G..............7th U. S. Infantry..........................2...........27
3098 Morton, E. P...............................D..............7th U. S. Infantry..........................2...........28
3099 Morris, W.................................F..............7th U. S. Infantry..........................2...........29
3100 Miller, P....................................D.............7th U. S. Infantry..........................2...........30
3101 Morris, R. H.............................Sergeant......7th U. S. Infantry..........................2...........31
3102 Monroe, N................................E.............7th U. S. Infantry..........................2...........32
3103 Malone, N. D.............................F............7th U. S. Infantry..........................2...........33
3104 Miller, J. N................................G............7th U. S. Infantry..........................2...........34
3105 Muzier, C...................................I...........107th Ohio volunteer infantry............9...........63
3106 Moushower, J.............................H...........107th Ohio volunteer infantry............9...........64
3107 McLeod, Geo............................B.............9th Maine volunteers....................39...........10
3108 McVean, Robert........................F.............9th Maine volunteers....................3.........11
3109 Madison, Alfred.........................K.............9th Maine volunteers....................20...........12
3110 Metcalf, Daniel..........................H.............9th Maine volunteers....................20...........13
3111 McIntyre, F. S.............................E............9th Maine volunteers....................1...........14
3112 Murphy, W................................K.............9th Maine volunteers....................2...........15
3113 McBurney, W............................H.............9th Maine volunteers....................1...........16
3114 Mcaloney, W..............................G............9th Maine volunteers....................1...........17
3115 Murphy, C................................K.............9th Maine volunteers....................20...........18
3116 Murphy, C................................H.............9th Maine volunteers....................20...........19
3117 Murphy, Jeff.............................Sergeant.....97th Pennsylvania.........................37...........57
3118 Mezer, N.................................G...........97th Pennsylvania........................37...........58
3119 Morton, C................................E...........97th Pennsylvania.........................37...........59
3120 Mills, H. M...............................G...........97th Pennsylvania.........................37...........60
