JOHNSON'S NEW UNIVERSAL CYCLOPAEDIA VOL. III

[Page header, with possible continuation from prior entry; text appears dense and columnar]

...of the motion of the air or the
part of the east side of the
the according to that of the
the according to that of the
and the body of the
upon the body of the
to the body of the
the body of the
of the body of the
the body of the
the body of the
the
is the body of the
the
of the body of the
the body of the
the
the body of the
the
the
the

ishing the Protestant Episcopal Church of St. Louis, with the General Convention of the Protestant Episcopal Church in the United States, in 1837, where he
was a prominent member. In 1844 he was elected bishop of Indiana, and consecrated the same year. He resigned in 1861, and was succeeded by the Rev. Dr. J. D. White. Bishop Kemper died in 1870.

The Protestant Episcopal Church in the United States is divided into dioceses and missionary jurisdictions, each under a bishop. The general convention meets triennially. The following are the jurisdictions of the Prot. Episcopal Church in the U.S., with the name of the diocese or missionary jurisdiction, the see city, and the name of the bishop in 1903:
New Hampshire, Concord, N.H., the Rt. Rev. W. H. Drumm, D.D.

New Jersey, Trenton, N.J., the Rt. Rev. J. Scarborugh, D.D.

New Mexico, Santa Fé, N.M., the Rt. Rev. E. S. Lines, D.D.

New York, New York, N.Y., the Rt. Rev. H. C. Potter, D.D.

North Carolina, Raleigh, N.C., the Rt. Rev. J. B. Cheshire, D.D.

Northern California, Sacramento, Cal., the Rt. Rev. W. H. Moreland, D.D.

Northern Michigan, Sault Ste. Marie, Mich., the Rt. Rev. G. T. Yeaton, D.D.

Northern Texas, Amarillo, Tex., the Rt. Rev. E. A. Garrett, D.D.

Northern Indiana, South Bend, Ind., the Rt. Rev. G. W. Cheney, D.D.

Ohio, Columbus, O., the Rt. Rev. W. A. Leonard, D.D.

Oklahoma, Guthrie, O.T., the Rt. Rev. T. F. Ddable, D.D. [illegible in fragments]

Olympia, Seattle, Wash., the Rt. Rev. J. M. McKelvey, D.D.

Oregon, Portland, Ore., the Rt. Rev. C. Scadding, D.D.

Pennsylvania, Philadelphia, Pa., the Rt. Rev. O. W. Whitaker, no [fragmented]

Pittsburgh, Pittsburgh, Pa., the Rt. Rev. S. D. McConnell, D.D.

Quincy, Quincy, Ill., the Rt. Rev. G. W. Knight, D.D.

Rhode Island, Providence, R.I., the Rt. Rev. W. N. McVickar, D.D.

Sacramento, Sacramento, Cal., the Rt. Rev. W. H. Moreland, D.D.

Salina, Salina, Kan., the Rt. Rev. J. M. Pyrne, D.D. [illegible]

South Carolina, Charleston, S.C., the Rt. Rev. W. A. Guerry, D.D.

South Dakota, Sioux Falls, S.D., the Rt. Rev. W. B. Lewis, D.D.

Southern Florida, Jacksonville, Fla., the Rt. Rev. [fragmented]

Southern Ohio, Cincinnati, O., the Rt. Rev. B. Boyd, D.D. wait, no; the Rt. Rev. L. R. Brewer, no.

[Note: Later lines fragmented with repeats; list continues with missionary jurisdictions such as]

Africa (Cape Palmas), Cape Palmas, Lib., the Rt. Rev. S. D. Ferguson, D.D.

Alaska, [illegible], the Rt. Rev. P. T. Rowley, D.D.

Anvik, [illegible], Alaska

Arizona, Phoenix, Ariz., the Rt. Rev. N. S. Thomas, D.D.

Hankow, Hankow, China

Shanghai, Shanghai, China

Japan, Tokyo, Japan, the Rt. Rev. H. M. Jones, D.D.

Philippines, Manila, P.I., the Rt. Rev. C. H. Brent, D.D.

Hayti, Port au Prince, Hayti

[Foreign and European convents: Washington, Baltimore, Philadelphia, Boston, Trinity Church New York, St. Philip's Church New York, etc., mentioned in fragments as examples or marginal notes]

[Page number at bottom: P4]
